Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Float,Short Ratio,Avg Volume,Price,Change %,Volume,datetime
GGEV,283180000000.0,266329999.99999997,265930000.0,0.0015,-0.0302,0.8201999999999999,0.004699999999999999,3.21%,3.02,2820000.0,1063.25,1.32%,1488943.0,2026-08-14 22:04:43
NNVS,276190000000.0,1830000000.0,1830000000.0,0.0001,0.0,0.0795,-0.0401,0.29%,2.85,1840000.0,150.88,-0.55%,1597672.0,2026-08-14 22:04:43
WWFC,268589999999.99997,3030000000.0,3020000000.0,0.0021,-0.0178,0.7809,-0.0233,0.94%,1.83,15540000.0,88.82,0.81%,8787946.0,2026-08-14 22:04:43
KKLAC,266170000000.00003,1310000000.0,1310000000.0,0.0011,-0.1796,0.9103,-0.0432,2.07%,2.11,12800000.0,203.72,-2.70%,7349346.0,2026-08-14 22:04:43
MMUFG,259560000000.0,11260000000.0,11260000000.0,0.0,,0.030699999999999998,-0.0392,0.05%,1.58,3310000.0,23.06,-0.17%,2677720.0,2026-08-14 22:04:43
TTXN,255330000000.0,913000000.0,910290000.0,0.0032,-0.09880000000000001,0.8833,-0.0039000000000000003,1.84%,1.95,8580000.0,279.58,2.25%,4760585.0,2026-08-14 22:04:43
SSHEL,252240000000.0,2790000000.0,2790000000.0,0.0001,0.0,0.1334,-0.4183,0.97%,4.05,6650000.0,90.47,0.61%,5023835.0,2026-08-14 22:04:43
AANET,250760000000.0,1260000000.0,1050000000.0,0.16949999999999998,-0.027000000000000003,0.7278,0.009300000000000001,1.22%,1.48,8660000.0,198.82,-2.36%,4704844.0,2026-08-14 22:04:43
SSNDK,243030000000.0,146000000.0,146000000.0,0.0141,-0.0049,0.8565999999999999,-0.0169,4.67%,0.5,13520000.0,1641.11,7.39%,20823562.0,2026-08-14 22:04:43
AAZN,242640000000.0,1550000000.0,1500000000.0,0.0359,-0.0002,0.6099,-0.0735,0.12%,0.66,2790000.0,156.45,-0.50%,3697457.0,2026-08-14 22:04:43
SSAP,240040000000.0,1150000000.0,1150000000.0,0.0,,0.07490000000000001,-0.0317,0.74%,2.76,3100000.0,207.97,-0.63%,2521118.0,2026-08-14 22:04:43
CC,233720000000.0,1680000000.0,,,,0.8128,-0.0278,-,2.06,11990000.0,139.33,0.43%,6829658.0,2026-08-14 22:04:43
AAXP,231280000000.0,675000000.0,674430000.0,0.0013,-0.026699999999999998,0.8706,-0.0364,1.80%,4.03,3010000.0,342.48,-0.34%,1529501.0,2026-08-14 22:04:43
TTM,226310000000.0,1180000000.0,1180000000.0,0.0,,0.021400000000000002,-0.23010000000000003,0.07%,1.63,495960.0,191.11,1.27%,216158.0,2026-08-14 22:04:43
AAMGN,224480000000.0,540600000.0,539400000.0,0.0023,-0.0512,0.8048000000000001,-0.0191,2.46%,4.9,2710000.0,415.21,-0.63%,2036244.0,2026-08-14 22:04:43
LLIN,222530000000.0,460980000.0,458440000.0,0.0055000000000000005,-0.0104,0.8528,-0.0024,1.22%,2.42,2310000.0,482.74,0.95%,1365056.0,2026-08-14 22:04:43
CCRWD,220910000000.0,1020000000.0,996660000.0,0.0212,-0.0332,0.7265,-0.0070999999999999995,2.56%,2.25,11370000.0,216.95,-3.80%,6740366.0,2026-08-14 22:04:43
IIBM,220760000000.0,942000000.0,941160000.0,0.001,0.0005,0.6493000000000001,-0.0021,2.37%,1.99,11210000.0,234.32,-1.19%,4519435.0,2026-08-14 22:04:43
SSTX,220620000000.0,226790000.0,226010000.0,0.0028000000000000004,-0.30879999999999996,0.8057,-0.0434,3.56%,1.72,4670000.0,973.44,5.65%,5239058.0,2026-08-14 22:04:43
BBHP,220450000000.0,2540000000.0,2540000000.0,0.0,,0.044500000000000005,-0.1016,0.76%,7.28,2660000.0,86.78,-0.52%,2410382.0,2026-08-14 22:04:43
TTMO,217520000000.0,369750000.0,368690000.0,0.0029,-0.0719,0.9184,-0.0281,1.35%,2.21,2260000.0,588.29,-1.28%,1057635.0,2026-08-14 22:04:43
SSAN,216650000000.0,14680000000.0,14680000000.0,0.0,,0.0331,-0.0554,0.61%,8.98,9890000.0,14.76,-0.14%,16916533.0,2026-08-14 22:04:43
TTD,210110000000.0,1690000000.0,1690000000.0,0.0023,0.0,0.52,-0.0274,0.62%,4.15,2520000.0,124.36,1.02%,1389098.0,2026-08-14 22:04:43
AAPH,206040000000.0,1230000000.0,1230000000.0,0.005,-0.18289999999999998,0.9684,0.0075,1.26%,1.79,8630000.0,167.11,0.82%,4481853.0,2026-08-14 22:04:43
VVZ,201420000000.0,4150000000.0000005,4150000000.0000005,0.0006,-0.10949999999999999,0.7073,-0.0033,2.01%,3.03,27520000.0,48.48,0.54%,15055754.0,2026-08-14 22:04:43
SSHOP,198550000000.0,1210000000.0,1200000000.0,0.0636,0.0,0.6422,0.018799999999999997,1.67%,2.03,9900000.0,154.32,-2.66%,5487932.0,2026-08-14 22:04:43
TTTE,196460000000.0,2220000000.0,2120000000.0,0.048499999999999995,0.0,0.5678,-0.052000000000000005,0.21%,2.83,1540000.0,88.33,1.47%,1294315.0,2026-08-14 22:04:43
TTMUS,195880000000.0,1070000000.0000001,481620000.0,0.551,-0.0012,0.42450000000000004,0.0025,3.75%,3.38,5340000.0,182.61,-0.42%,2507147.0,2026-08-14 22:04:43
MMRVL,194440000000.0,875600000.0,869040000.0,0.0077,-0.0431,0.8956999999999999,-0.055099999999999996,4.12%,0.87,41110000.0,222.02,-0.07%,14422056.0,2026-08-14 22:04:43
MMCD,193070000000.0,707600000.0,707130000.0,0.0007000000000000001,-0.13699999999999998,0.7637,0.0074,1.73%,2.67,4590000.0,272.83,0.21%,2733263.0,2026-08-14 22:04:43
