pv,bond_dirty_price,ls,lt,dp,type,du,id,iopv,ig,ed,change_vs_pc_percentage,ej,clo,el,v_,ex,nc,vl,cur,fn,trading_time,bl,sc,bv,dpc,iiv,sip,bond_clean_price,cc,ptd,b,issuer-name,c,sv,h,i,cn,l,m,n,o,p_,cr,p,bond_accrued_interest,change_vs_pc,r,s,cx,v,lf,bond_date,datetime,datetime_sg
0.017,,P,0.017,,structuredwarrants,,0,0.0,16.0,2026-12-29,,,,3.6,,,PGDW,0.0,SGD,,20260709_091600,100,,0.0,,,@,,,,,ShengSiong MBeCW261229,0.0,0.0,0.0,,,0.0,MAINBOARD,ShengSiong MBeCW261229,0.0,,12:1,0.0,,,,,0.0,0.0,0.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.047,,P,0.047,,stocks,,0,0.0,,,,,,0.0,,,BKV,0.0,SGD,,20260709_091600,100,C,20.0,,,,,,20260611,0.042,Shenshan,0.0,0.8,0.0,,,0.0,CATALIST,Shenshan,0.0,,,0.0,,,,0.060,0.0,0.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.063,,P,0.063,,stocks,,0,0.0,,,,,,0.0,,,1F0,0.0,SGD,,20260709_091600,100,M,60.0,,,,,,20260622,0.060,Shopper360,0.0,23.6,0.0,,,0.0,CATALIST,Shopper360,0.0,,,0.0,,,,0.064,0.0,0.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.119,,P,0.118,,stocks,,0,0.0,,,,,,0.0,,,566,33.2,SGD,,20260709_091600,100,C,15.0,,,,,,20260707,0.112,SHS,-0.001,4.0,0.119,,,0.112,MAINBOARD,SHS,0.113,,,-0.84,,,,0.119,0.0,3828.4,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
7.84,,P,7.68,,stocks,,0,0.0,,,,,,0.0,,,C6L,16417.5,SGD,,20260709_091600,100,H,153.4,,,,,,20260708,7.680,SIA,-0.16,19.8,7.83,,,7.57,MAINBOARD,SIA,7.81,,,-2.041,,,CD,7.690,0.0,126081531.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
1.43,,P,1.275,0.0,dlcertificates,0.0,0,0.0,25.0,2028-05-16,,,,0.0,,,FHOW,38.9,SGD,,20260709_091600,100,,6.0,0.0,,@,,,,1.220,SIA 5xLongSG280516,-0.131,0.0,1.4,,,1.2,MAINBOARD,SIA 5xLongSG280516,1.4,,,-9.317,,,,,1.406,49249.0,5.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.53,,P,0.53,0.0,dlcertificates,0.0,0,0.0,25.0,2026-10-30,,,,0.0,,,Z1DW,0.0,SGD,,20260709_091600,100,,0.0,0.0,,@,,,,,SIA 5xLongUB261030,0.0,1.0,0.0,,,0.0,MAINBOARD,SIA 5xLongUB261030,0.0,,,0.0,,,,0.525,0.525,0.0,5.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.123,,P,0.135,0.0,dlcertificates,0.0,0,0.0,26.0,2027-04-27,,,,0.0,,,ZDBW,200.0,SGD,,20260709_091600,100,,0.0,0.0,,@,,,,,SIA 5xShortSG270427,0.015,5.0,0.138,,,0.127,MAINBOARD,SIA 5xShortSG270427,0.127,,,12.5,,,,0.138,0.12,26490.0,5.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
3.44,,P,3.37,,stocks,,0,0.0,,,,,,0.0,,,S59,1124.4,SGD,,20260709_091600,100,C,36.6,,,,,,20260708,3.370,SIA Engineering,-0.07,1.3,3.44,,,3.36,MAINBOARD,SIA Engineering,3.44,,,-2.035,,,CD,3.380,0.0,3803996.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.049,,P,0.049,,structuredwarrants,,0,0.0,16.0,2026-09-30,,,,7.0,,,FNVW,0.0,SGD,,20260709_091600,100,,0.0,,,@,,,,,SIA MB eCW260930,0.0,0.0,0.0,,,0.0,MAINBOARD,SIA MB eCW260930,0.0,,15:1,0.0,,,,,0.0,0.0,0.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
